"No","Judul","Topik","Abstrak","",""
"1","SISTEM INFORMASI PENJADWALAN DOKTER BERBASIS WEB DENGAN MENGGUNAKAN FRAMEWORK CODEIGNITER (STUDI KASUS: RUMAH SAKIT YUKUM MEDICAL CENTRE)","Basis Data","Rumah Sakit Yukum Medical Centre merupakan perusahaan yang bergerak pada bidang kesehatan yang berdiri di Yukum Jaya Kabupaten Lampung Tengah. Sistem penjadwalan di Rumah Sakit Yukum Medical Centre masih menggunakan kertas apabila pasien ingin mengetahui informasi jadwal dokter dapat menanyakan kebagian informasi. Faktor kesehatan merupakan salah satu faktor yang penting dalam kehidupan masyarakat. Terutama untuk mendapatkan layanan kesehatan ketika sakit atau membutuhkan pelayanan kesehatan seperti hanya sekedar konsultasi. Sistem Informasi Penjadwalan Dokter Berbasis Web dapat menjadi solusi untuk pengolahan data serta dapat memberikan infomasi tentang kesehatan dan jadwal dokter kepada pasien yang lebih akurat. Selanjutnya pada tahapan pengembangan sistem dengan model waterfall (Air Terjun). Analisis perancangan meliputi Use Case Diagram, Activity Diagram, Class Diagram, dan Sequence Diagram. Implemeentasi menggunakan alat seperti Framework Codeigniter sebagai desain tampilan antarmuka dan MySQL sebagai pengolahan database. Pengujian sistem dilakukan dengan pengujian BlackBox ISO 9126 dan WhiteBox. Hasil pengujian yang telah dilakukan dapat disimpulkan bahwa dengan adanya sistem Informasi Penjadwalan Dokter Berbasis Web dengan menggunakan Framework Codeigniter dapat memberikan informasi jadwal praktik dokter dengan cepat dan akurat dan menjadikan proses penjadwalannya lebih efisien Kata Kunci : Penjadwalan, Dokter, Web, Framework, Codeigniter, Unified Modelling Language","",""
"2","E-Learning Sebagai Media Pembelajaran Berbasis Web Pada Smk N 4 Purworejo","Basis Data","Ujian Nasional terutama SMK sekarang sudah menerapkan sistem UNBK (Ujian Nasional Berbasis Komputer), SMK Negeri 4 Purworejo sampai saat ini belum menerapkan sistem e-learning dalam proses belajar mengajar, terutama untuk persiapan UNBK. Oleh karena itu, diperlukannya sistem e-learning yang dapat memudahkan siswa dalam belajar dan tentunya siswa dapat terbiasa dengan pelaksanaan ujian berbasis komputer. Dilihat dari permasalahan tersebut penulis membuat sebuah sistem e-learning berbasis web menggunakan metode waterfall, berdasarkan observasi, wawancara dan studi pustaka yang sudah dilakukan. Sistem e-learning ini dapat memudahkan siswa terbiasa dengan pelaksanaan ujian berbasis komputer dan dapat memperdalam ilmu pengetahuan terutama dalam menghadapi ujian nasional berbasis komputer. Tujuan dari pembuatan sistem e-learning ini untuk memudahkan pembelajaran di SMK Negeri 4 Purworejo terutama kelas XII dan mendukung ujian nasional berbasis komputer, karena terdapat fasilitas download materi, mengerjakan latihan soal dan dapat berkomunikasi langsung dengan guru melalui forum diskusi. Sistem e-learning ini dibuat dengan menggunakan bahasa pemrograman PHP yang didukung basis data MySQL. Sistem e-learning ini dapat memudahkan dan mendukung siswa dalam pelaksanaan UNBK pada SMK Negeri 4 Purworejo. Kata Kunci: E-Learning, Media Pembelajaran, Web, Ujian Nasional","",""
"3","PENERAPAN PENDEKATAN MACHINE LEARNING PADA PENGEMBANGAN BASIS DATA HERBAL SEBAGAI SUMBER INFORMASI KANDIDAT OBAT KANKER","Basis Data","Penyakit kanker merupakan masalah epidemiologis di tanah air. Pengembangan obat modern sejauh ini masih bergantung pada laboratorium farmakologi dan kimia bahan alam yang dapat memiliki efek samping. Namun, pengembangan obat untuk penyakit kanker sudah memasuki tahap biologi molekuler, dimana interaksi struktur kimia ligan dengan protein reseptor dapat dikaji dengan ketelitian tinggi. Berbagai tipe senyawa kimia, mulai dari sintetik, semi sintetik, hingga bahan alam, dikembangkan untuk keperluan melawan penyakit yang dianggap paling berbahaya tersebut. Dalam konteks pengembangan obat berbasis herbal, telah ditemukan senyawa bahan alam dalam jumlah banyak. Data tersebut dikurasi dan dianotasi oleh basis data milik China, Taiwan, Indonesia, Jepang, maupun beberapa negara lainnya. Hanya saja, permasalahan timbul ketika memilih senyawa bioaktif terbaik untuk dikembangkan untuk melawan penyakit kanker. Kompleksitas timbul karena jalur metabolik penyakit kanker sangat beragam, tergantung pada tipe dan fasenya. Oleh karena itu, dalam telaah sistematis ini, disajikan telaah pendekatan machine learning untuk melakukan penapisan terhadap pustaka senyawa bioaktif tersebut, kemudian proses seleksi kandidat yang terbaik untuk operasi simulasi molekuler, dan selanjutnya teruji validitasnya pada wet experiment. Sehingga proses automatisasi pengembangan kandidat obat bagi penyakit kanker dapat dicapai dengan sangat signifikan. Diketahui bahwa metode machine learning paling efektif dan efisien adalah Naïve Bayes. Namun yang terbaik dalam mengolah data senyawa dalam jumlah besar adalah SVM classifier. Kedepannya, metode deep learning sangat menjanjikan untuk komputasi data senyawa bioaktif yang kompleks. Kata kunci: machine learning, pengembangan obat, senyawa bahan alam, jalur metabolik, penyakit kanker","",""
"4","PERANCANGAN SISTEM INFORMASI PERSEDIAAN BAHAN BAKU","Basis Data","Ketersediaan pasokan bahan baku merupakan hal yang sangat penting dalam menjaga keberlangsungan proses produksi di suatu perusahaan. Tujuan penelitian ini adalah merancang sistem informasi persediaan bahan baku berbasis web untuk memenuhi kebutuhan pengguna dalam pengendalian persediaan bahan baku kacang shanghai. Metode pendekatan sistem yang digunakan dalam penelitian ini adalah prototyping. Perancangan sistem menggunakan konsep Object Oriented Programming (OOP) dengan UML versi 2.0, database MySQL dan XAMPP sebagai local server serta bahasa pemrograman PHP. Informasi yang dihasilkan adalah informasi mengenai daftar bahan baku, pasokan bahan baku, penggunaan bahan baku, serta ketersediaan bahan baku kacang shanghai dalam gudang. Uji verifikasi dan validasi menggunakan metode black box serta uji rancangan sistem menunjukkan bahwa hasil rancangan sistem informasi telah berjalan dengan baik dan sesuai yang diharapkan.
Kata kunci: bahan baku, kacang, persediaan, sistem informasi","",""
"5","Sistem Informasi Akademik Berbasis Web padaLKP Rejeki Cilacap","Basis Data","Sistem informasi akademik yang masih manual yaitu pengolahan nilai masih menggunakan tulis tangan serta pemberitahuan nilai dan pengumuman akademik lainnya peserta didik harus datang ke LKP. Untuk itu dibuatlah sistem informasi akademik yang berbasis websehingga peserta didik yang ingin mendapatkan informasi akademik tidak lagi datang ke LKP dan lebih praktis tanpa meluangkan waktu ke instansi pendidikan tersebut. Di dalam web ini Pengelolaan sistem informasi akademik terbagi kedalam 4 pengguna yaitu admin, guru, siswa, dan pengunjung. User diberikan hak akses tertentu, admin diberikan hak akses berupa pengelolaan secara keseluruhan mulai dari pengelolaan input data siswa, data nilai, data guru, informasi akademik yang akan diinformasikan pada berita akademik. Kemudian guru diberikan hak akses untuk memasukkan data nilai siswa, dan informasi umum seputar akademik seperti jadwal dan updoad materi, dan siswa hanya bisa mengakses data nilai pribadi, serta informasi berita akademik seperti jadwal dan materi. Website ini hanya menginformasikan tentang penilaian harian, nilai tugas, nilai UTS, UAS, hasil nilai, dan sertifikat. Dengan dibuatnya sistem secara online dapat tercapai suatu kegiatan yang efektif dalam menunjang aktifitas LKP yang lebih kondusif dibandingkan dengan sistem manual. Kata Kunci: Sistem Informasi, Akademik, Web, Pengolahan Nilai, Nilai","",""
"6","DESAIN APLIKASI SISTEM INFORMASI GEOGRAFIS PEDAGANG PASAR MENGGUNAKAN VISUAL BASIC DAN DOTSPATIAL (STUDI KASUS: PASAR BINTORO KABUPATEN DEMAK)","Basis Data","Keberadaan pasar mempunyai fungsi yang sangat penting. Bagi konsumen, adanya pasar akan mempermudah memperoleh barang dan jasa kebutuhan sehari-hari. Secara umum, pasar mempunyai tiga fungsi utama yaitu sebagai sarana distribusi, pembentukan harga, dan sebagai tempat promosi. Pasar bintoro sebagai pasar terbesar di Kabupaten Demak menjadi penunjang sektor perekonomian termasuk sektor UMKM, pertanian, dan pariwisata. Lokasi Pasar Bintoro relatif dekat dengan Masjid Agung Demak dan makam Sunan Kalijaga. Seiring berkembangnya teknologi, dapat dibuat sistem informasi berbasis Geographic Information System (GIS) desktop dengan bantuan kontrol dari dotSpatial dan diprogram dengan aplikasi bahasa pemrograman visual basic. Penelitian ini memiliki tiga tahap proses awal, yaitu pengolahan data spasial, pengolahan data aribut, dan pembuatan aplikasi. Pengolahan data spasial diawali dengan observasi lapangan kemudian melakukan proses digitasi pada denah peta dan dihasilkan peta kios pasar. Pada pengolahan data atribut, data yang diolah ialah data informasi pedagang kios dan data pendukung seperti fasilitas umum dan fasilitas tiap kios, kemudian disusun menjadi basis data. Pembuatan aplikasi dengan melakukan desain pada tampilan aplikasi sehingga sudah terlihat bentuk dari Graphical User Interface (GUI). Kemudian dilakukan integrasi antara data atribut dan data spasial ke dalam aplikasi. Penelitian ini menghasilkan aplikasi berbasis GIS desktop yang mudah digunakan (user friendly) yang bertujuan untuk mempermudah dalam pengeolaan informasi pedagang dan pasar. Kegunaan aplikasi ini antara lain menampilkan data spasial yang terdiri dari kios pasar, fasilitas umum, dan akses jalan. Kemudian menampilkan informasi atribut yang berisi informasi pedagang pasar, informasi kios, dan informasi fasilitas umum. Hasil pengujian aplikasi yang dilakukan pada beberapa responden, antara lain pegawai pasar, pedagang pasar, pengunjung pasar, dan masyarakat umum terbilang cukup memuaskan dengan total nilai baik yaitu 70% pada alur kerja aplikasi dan kemudahan dalam pengoperasian aplikasi, kemudian 80% baik pada informasi yang tersedia di aplikasi, 85% untuk tampilan antar muka aplikasi, dan yang terakhir 90% cukup untuk uji kelayakan aplikasi . Kata Kunci : DotSpatial, Informasi Pedagang, Pasar Bintoro, SIG, Visual Basic","",""
"7","SISTEM INFORMASI PENGOLAHAN DATA PENANGGULANGAN BENCANA PADA KANTOR BADAN PENANGGULANGAN BENCANA DAERAH (BPBD) KABUPATEN PADANG PARIAMAN","Basis Data","Penulis telah mengadakan penelitian pada Kantor Badan Penanggulangan Bencana
Daerah (BPBD) Kabupaten Padang Pariaman dengan tujuan mengetahui sistem informasi
pengolahan data kebencanaan dan selanjutnya mengembangkan sistem yang sedang berjalan
tersebut agar mencapai tingkat yang lebih optimal. Dalam penelitian ini penulis menggunakan
metode penelitian lapangan yaitu dengan mengadakan penelitian langsung ke lapangan,
selanjutnya penulis mengolah hasil data penelitian di labor komputer, kemudian dirancang
suatu sistem informasi pengolahan data bencana, dimana sistem informasi tersebut
menghasilkan informasi berupa laporan – laporan bencana yang terjadi dengan memanfaatkan
sarana komputer sebagai alat bantu dalam pengolahan data. Diharapkan sistem baru yang
penulis kembangkan ini dapat menggantikan sistem lama, agar mencapai tingkat efektifitas dan
efisiensi yang lebih tinggi. Sehingga rancangan tersebut dapat bermanfaat bagi Kantor Badan
Penanggulangan Bencana Daerah (BPBD) Kabupaten Padang Pariaman untuk mendapatkan
laporan dalam pengolahan data kebencanaan yang sangat diperlukan dalam pengambilan
keputusan Pimpinan. Kata kunci : sistem informasi, sistem informasi bencana, Kantor Badan Ketahanan Pangan dan
Penyuluhan Kabupaten Pesisir Selatan","",""
"8","Perancangan dan Penerapan “Search Engine Optimization”(SEO) pada Website Pemasaran Produk Toko Janjebles","Basis Data","Toko Janjebles mengalami kesulitan dalam memasarkan produknya. Solusi yang diberikan adalah membuat website,
namun untuk mengoptimalkan website juga diperlukan teknik tertentu agar web dikenal orang. Namun sayangnya
beberapa Toko Janjebles tidak memahami hal tersebut. Oleh karena itu, penelitian ini akan mengimplementasikan
teknik agar website Janjebles dikenal oleh mesin pencari. Penelitian ini akan mengimplementasikan website berbasis
Search Engine Optimization (SEO) menggunakan teknik On page. Teknik On page dapat dilakukan diantaranya
dengan membuat template yang SEO friendly dan cepat saat diakses, memasang meta tag dan keyword. Analisa
keyword tentang baju Janjebles akan dilakukan agar produk dapat menempati rangking atas dalam pencarian
Google. Hasil dari penelitian ini adalah website Janjebles yang mengimplementasikan SEO On page dengan cara
yang mudah. Penggunaan Content Management System diharapkan dapat membantu pengelola web untuk
mempromosikan produknya dan berakibat pada peningkatan penjualan produk Toko Janjebles tersebut. Kata Kunci: website; pemasaran produk; search engine optimization; on page technique","",""
"9","IMPLEMENTASI SISTEM BASIS DATA UNTUK MENDUKUNG PENGEMBANGAN SISTEM INFORMASI MANAJEMEN SUMBER DAYA MANUSIA (STUDI KASUS  STIKOM DINAMIKA BANGSA)","Basis Data","Penelitian ini merupakan penelitian lanjutan berdasarkan penelitian sebelumnya tentang analisis dan perancangan sistem informasi manajemen SDM yang menghasilkan rancangan basis data dan prototype dari Sistem Informasi Manajemen Sumber Daya Manusia. Penelitian ini terfokus pada implementasi rancangan basis data ke dalam system basis data terintegrasi yang menghubungkan seluruh fungsi-fungsi dalam Manajemen SDM guna mendukung pengembangan Sistem Informasi Manajemen SDM di STIKOM Dinamika Bangsa Jambi. Penelitian ini dilakukan dengan merancang kembali skema database yang akan dikembangkan dengan melakukan penyesuaian terhadap kebutuhan DBMS yang akan digunakan, merancang transaksi-transaksi berdasarkan skema konseptual yang telah dibangun serta melakukan implementasi system basis data dengan menggunakan perintah-perintah DDL (Data Definition Languange) dan DML (Data Manipulation Languange).","",""
"10","PEMBUATAN MODEL SEQUENCE DIAGRAM DENGAN REVERSE ENGINEERING APLIKASI BASIS DATA PADA SMARTPHONE UNTUK MENJAGA KONSISTENSI DESAIN PERANGKAT LUNAK","Basis Data","Konsistensi desain sequence diagram dengan implementasi sering menjadi masalah dalam pembangunan perangkat
lunak, penelitian ini akan menerapkan hasil reverse engineering sequence diagram dari aplikasi yang telah ada sebagai
model dasar untuk membangun perangkat lunak sehingga konsistensi desain sequence diagram bisa dijaga. Dalam
penelitian ini model sequence diagram tersebut dibangun dengan cara mengklasifikasikan interaksi antara pengguna
dengan perangkat lunak di aplikasi basis data pada smartphone. Untuk membuat model UML Sequence Diagram, langkah
pertama adalah memilih dataset berupa source code aplikasi contoh di Blackberry 10 dan kemudian memahami fungsional
aplikasi tersebut. Langkah selanjutnya adalah melakukan reverse engineering dari source code tersebut berdasarkan fitur
yang telah didefinisikan sebelumnya. Lalu dilakukan pembangunan model UML sequence diagram berdasarkan kesamaan
dan pengelompokan pola pada hasil reverse engineering. Langkah terakhir adalah melakukan evaluasi terhadap model
UML sequence diagram dengan cara menggunakannya pada pembangunan aplikasi baru, mengukur tingkat konsistensi
desain sequence diagram serta mengambil pengetahunan dari penerapan studi kasus. Berdasarkan hasil penelitian, model
sequence diagram yang didapatkan dari proses reverse engineering bisa menjaga konsistensi antara desain sequence
diagram dengan implementasi pada pembangunan perangkat lunak. Kata Kunci: Sequence Diagram, Basis Data, Reverse Engineering, Smartphone","",""
