"No","Judul","Topik","","",""
"1","SISTEM INFORMASI PENJADWALAN DOKTER BERBASIS WEB DENGAN MENGGUNAKAN FRAMEWORK CODEIGNITER (STUDI KASUS: RUMAH SAKIT YUKUM MEDICAL CENTRE)","Basis Data","","",""
"2","E-Learning Sebagai Media Pembelajaran Berbasis Web Pada Smk N 4 Purworejo","Basis Data","","",""
"3","PENERAPAN PENDEKATAN MACHINE LEARNING PADA PENGEMBANGAN BASIS DATA HERBAL SEBAGAI SUMBER INFORMASI KANDIDAT OBAT KANKER","Basis Data","","",""
"4","PERANCANGAN SISTEM INFORMASI PERSEDIAAN BAHAN BAKU","Basis Data","","",""
"5","Sistem Informasi Akademik Berbasis Web pada LKP Rejeki Cilacap","Basis Data","","",""
"6","DESAIN APLIKASI SISTEM INFORMASI GEOGRAFIS PEDAGANG PASAR MENGGUNAKAN VISUAL BASIC DAN DOTSPATIAL (STUDI KASUS: PASAR BINTORO KABUPATEN DEMAK)","Basis Data","","",""
"7","SISTEM INFORMASI PENGOLAHAN DATA PENANGGULANGAN BENCANA PADA KANTOR BADAN PENANGGULANGAN BENCANA DAERAH (BPBD) KABUPATEN PADANG PARIAMAN","Basis Data","","",""
"8","Perancangan dan Penerapan “Search Engine Optimization”(SEO) pada Website Pemasaran Produk Toko Janjebles","Basis Data","","",""
"9","IMPLEMENTASI SISTEM BASIS DATA UNTUK MENDUKUNG PENGEMBANGAN SISTEM INFORMASI MANAJEMEN SUMBER DAYA MANUSIA(STUDI KASUS  STIKOM DINAMIKA BANGSA)","Basis Data","","",""
"10","PEMBUATAN MODEL SEQUENCE DIAGRAM DENGAN REVERSE ENGINEERING APLIKASI BASIS DATA PADA SMARTPHONE UNTUK MENJAGA KONSISTENSI DESAIN PERANGKAT LUNAK","Basis Data","","",""
"11","DATA MINING UNTUK OPTIMALISASI DISTRIBUSI PENJUALAN INDOMIE GORENG MENGGUNAKAN METODE CLUSTERING","Data Mining","","",""
"12","PENERAPAN DATA MINING UNTUK MEMPREDIKSI KRITERIA NASABAH KREDIT","Data Mining","","",""
"13","Implementasi Data Mining Menentukan Game Android Paling Diminati Dengan Algoritma Apriori","Data Mining","","",""
"14","PENERAPAN DATA MINING TERHADAP PENJUALAN PIPA PADA CV. GASKINDO SENTOSA MENGGUNAKAN METODE ALGORITMA APRIORI","Data Mining","","",""
"15","PENERAPAN DATA MINING UNTUK KLASIFIKASI PREDIKSI PENYAKIT ISPA (Infeksi Saluran Pernapasan Akut) DENGAN ALGORITMA DECISION TREE (ID3)","Data Mining","","",""
"16","Implementasi Metode Association Rule untuk Menganalisis Data Twitter tentang Badan Penyelenggara Jaminan Sosial dengan Algoritma Frequent Pattern Growth","Data Mining","","",""
"17","Penerapan Principal Component Analysis","Data Mining","","",""
"18","Penerapan Algoritma C4.5 Untuk Memprediksi Keuntungan Pada PT SMOE Indonesia","Data Mining","","",""
"19","PENERAPAN DATA MINING DENGAN METODE CLUSTERING UNTUK PENGELOMPOKAN DATA PENGIRIMAN BURUNG","Data Mining","","",""
"20","Data Mining Untuk Analisis Pola Pemilihan Menu Pada Penang Corner Cafe Dan Resto Menggunakan Algoritma Apriori","Data Mining","","",""
"21","ANALISIS JARINGAN LOCAL AREA NETWORK (LAN) PADA PT. MUSTIKA RATU Tbk JAKARTA TIMUR","Jaringan Komputer","","",""
"22","Rancang Bangun Sistem Perpustakaan untuk Jurnal Elektronik","Jaringan Komputer","","",""
"23","SISTEM INFORMASI LAPORAN PENJUALAN KOMPUTER BERBASIS LAN","Jaringan Komputer","","",""
"24","ANALISIS DAN OPTIMALISASI JARINGAN MENGGUNAKAN TEKNIK LOAD BALANCING (Studi Kasus : Jaringan UAD Kampus 3)","Jaringan Komputer","","",""
"25","PENGEMBANGAN SISTEM PENGAMAN JARINGAN KOMPUTER BERDASARKAN ANALISIS FORENSIK JARINGAN","Jaringan Komputer","","",""
"26","MEDIA PEMBELAJARAN KOMUNIKASI DATA DAN JARINGAN KOMPUTER PADA MATERI ROUTER","Jaringan Komputer","","",""
"27","Perancangan Wide Area Network (WAN) Dengan Teknologi Virtual Private Network (VPN)","Jaringan Komputer","","",""
"28","PERANCANGAN JARINGAN KOMPUTER DI PT. DIRGANTARA","Jaringan Komputer","","",""
"29","PERANCANGAN INFRASTRUKTUR JARINGAN KOMPUTER UNTUK MENDUKUNG IMPLEMENTASI SISTEM INFORMASI PADA UNIVERSITAS TEKNOLOGI SUMBAWA","Jaringan Komputer","","",""
"30","PERANCANGAN APLIKASI PEMERIKSAAN IP ADDRESS AKTIF PADA JARINGAN KOMPUTER DENGAN METODE PENGUJIAN BLACK BOX","Jaringan Komputer","","",""
"31","JARINGAN SYARAF TIRUAN ALGORITMA BACKPROPAGATION DALAM MEMPREDIKSI KETERSEDIAAN KOMODITI PANGAN PROVINSI RIAU","Jaringan Syaraf Tiruan","","",""
"32","Prediksi Nilai Tukar Petani Menggunakan Jaringan Syaraf Tiruan Backpropagation","Jaringan Syaraf Tiruan","","",""
"33","Pengenalan Pola Tulang Daun Dengan Jaringan Syaraf Tiruan Backpropagation","Jaringan Syaraf Tiruan","","",""
"34","JARINGAN SYARAF TIRUAN UNTUK MEMPREDIKSI KINERJA SATPAM","Jaringan Syaraf Tiruan","","",""
"35","Metode Baru Untuk Pintu Loker Dengan Sistem Keamanan Wajah Menggunakan Algoritma Backpropagation","Jaringan Syaraf Tiruan","","",""
"36","JARINGAN SYARAF TIRUAN BACKPROPAGATION UNTUK PREDIKSI JUMLAH PENGUNJUNG KOLAM RENANG","Jaringan Syaraf Tiruan","","",""
"37","JARINGAN SYARAF TIRUAN UNTUK MEMPREDIKSI NILAI KELULUSAN SIDANG (STUDI KASUS : STMIK KAPUTAMA BINJAI )","Jaringan Syaraf Tiruan","","",""
"38","Model Jaringan Syaraf Tiruan Dalam Memprediksi Ketersediaan Cabai Berdasarkan Provinsi","Jaringan Syaraf Tiruan","","",""
"39","MODEL JARINGAN SYARAF TIRUAN DALAM MEMPREDIKSI PENDAPATAN PERKAPITA MASYARAKAT PERKOTAAN PADA GARIS KEMISKINAN BERDASARKAN PROPINSI","Jaringan Syaraf Tiruan","","",""
"40","DETEKSI ANOMALI TOTAL ELECTRON CONTENT SEBELUM GEMPA BUMI PALU MENGGUNAKAN JARINGAN SYARAF TIRUAN DETEKSI ANOMALI TOTAL ELECTRON CONTENT SEBELUM GEMPA BUMI PALU MENGGUNAKAN JARINGAN SYARAF TIRUAN DETEKSI ANOMALI TOTAL ELECTRON CONTENT SEBELUM GEMPA BUMI PALU MENGGUNAKAN JARINGAN SYARAF TIRUAN LEVENBERG-MARQUARDT","Jaringan Syaraf Tiruan","","",""
"41","OPTIMALISASI NEURAL NETWORK DENGAN PARTICLE SWARM OPTIMIZATION UNTUK PREDIKSI KELULUSAN MAHASISWA","Rekayasa Perangkat Lunak","","",""
"42","METODE WATERFALL DALAM IMPLEMENTASI APLIKASI PERPUSTAKAAN BERBASIS DEKSTOP","Rekayasa Perangkat Lunak","","",""
"43","REKAYASA PERANGKAT LUNAK PROGRAM APLIKASI MANAGEMENT SERVISE STATION PT.BUANA CENTRA SWAKARSA LOGISTICS (BCS-LOGISTICS) CILEGON","Rekayasa Perangkat Lunak","","",""
"44","REKAYASA PERANGKAT LUNAK SISTEM INFORMASI AKADEMIK DI SMK TERPADU BANI RUSYDI CIMARGA","Rekayasa Perangkat Lunak","","",""
"45","REKAYASA PERANGKAT LUNAK UNTUK JASA PINDAH BERBASIS WEB","Rekayasa Perangkat Lunak","","",""
